,jichang,shike,quedingxingrongliang,quedingxingronglianggailv,buquedingxingrongliang,buquedingxingronglianggailv,leijiagailv,1,2,3,4,5,6,7,8,9,10
167,ZBAA,48,15,1,16,0.04,0.12,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
168,ZBAA,48,15,1,17,0.04,0.08,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
169,ZBAA,48,15,1,19,0.04,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
170,ZBAA,49,15,1,7,0.06,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
171,ZBAA,49,15,1,8,0.08,0.94,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
172,ZBAA,49,15,1,9,0.08,0.8599999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
173,ZBAA,49,15,1,10,0.06,0.78,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
174,ZBAA,49,15,1,11,0.22,0.72,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
175,ZBAA,49,15,1,12,0.12,0.5,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
176,ZBAA,49,15,1,13,0.1,0.38,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
177,ZBAA,49,15,1,14,0.06,0.28,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
178,ZBAA,49,15,1,15,0.08,0.22,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
179,ZBAA,49,15,1,16,0.08,0.13999999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
180,ZBAA,49,15,1,18,0.04,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
181,ZBAA,49,15,1,23,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
